N;Tiempo
100;0.00000
200;0.00100
300;0.00200
400;0.00200
500;0.00500
600;0.00600
700;0.00800
800;0.01200
900;0.01500
1000;0.01800
1100;0.02301
1200;0.02601
1300;0.03101
1400;0.03701
1500;0.04301
1600;0.04501
1700;0.05901
1800;0.06001
1900;0.07002
2000;0.08402
2100;0.08602
2200;0.08702
2300;0.10208
2400;0.11413
2500;0.12103
2600;0.13079
2700;0.14203
2800;0.15603
2900;0.15203
3000;0.17804
3100;0.19104
3200;0.20404
3300;0.21005
3400;0.22905
3500;0.24505
3600;0.23705
3700;0.26973
3800;0.31100
3900;0.30199
4000;0.29600
4100;0.33499
4200;0.34900
4300;0.37600
4400;0.39200
4500;0.40000
4600;0.43099
4700;0.40400
4800;0.45100
4900;0.48000
5000;0.45899
5100;0.50800
5200;0.54100
5300;0.53200
5400;0.58999
5500;0.62300
5600;0.64599
5700;0.66201
5800;0.61298
5900;0.70900
6000;0.78099
6100;0.72900
6200;0.70599
6300;0.80799
6400;0.86801
6500;0.82718
6600;0.81118
6700;0.89019
6800;0.91320
6900;0.95321
7000;1.04123
7100;0.99422
7200;0.97821
7300;1.05426
7400;1.17978
7500;1.05565
7600;1.04323
7700;1.29423
7800;1.16126
7900;1.25986
8000;1.29499
8100;1.31603
8200;1.47207
8300;1.28188
8400;1.28399
8500;1.55099
8600;1.35899
8700;1.39999
8800;1.68403
8900;1.56043
9000;1.48433
9100;1.69037
9200;1.69237
9300;1.71738
9400;1.92542
9500;1.81364
9600;1.81469
9700;1.92342
9800;1.78767
9900;1.94899
10000;2.03496
10100;1.90547
10200;2.06545
10300;2.28150
10400;2.00544
10500;2.02144
10600;2.41353
10700;2.34051
10800;2.16748
10900;2.37852
11000;2.63111
11100;2.45532
11200;2.33487
11300;2.62057
11400;2.59619
11500;2.47954
11600;2.75060
11700;2.75360
11800;2.77161
11900;2.88363
12000;2.64858
12100;2.83862
12200;2.96206
12300;3.07820
12400;3.29611
12500;2.81832
12600;2.96665
12700;3.50977
12800;3.16269
12900;3.33273
13000;3.43305
13100;3.10740
13200;3.52025
13300;3.58794
13400;3.54878
13500;3.95087
13600;3.49577
13700;3.43375
13800;4.07148
13900;3.60783
14000;3.63958
14100;4.33095
14200;3.95287
14300;3.76883
14400;4.27494
14500;4.19949
14600;3.99622
14700;4.38097
14800;4.36522
14900;4.06789
15000;4.61201
